event_name,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url
UFC 317: Topuria vs. Oliveira,Marc Goddard,Ilia Topuria,Charles Oliveira,Ilia Topuria,5,T,Lightweight,M,KO/TKO,Punch to Head At Distance,1,2:27,http://ufcstats.com/fight-details/7a64d63e12618ba7
UFC 317: Topuria vs. Oliveira,Herb Dean,Alexandre Pantoja,Kai Kara-France,Alexandre Pantoja,5,T,Flyweight,M,Submission,Rear Naked Choke,3,1:55,http://ufcstats.com/fight-details/8308464729ea7c40
UFC 317: Topuria vs. Oliveira,Jason Herzog,Brandon Royval,Joshua Van,Joshua Van,3,F,Flyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/f722b96ae6862843
UFC 317: Topuria vs. Oliveira,Mark Smith,Beneil Dariush,Renato Moicano,Beneil Dariush,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/1ea9ad3b6e1cba79
UFC 317: Topuria vs. Oliveira,Chris Tognoni,Payton Talbott,Felipe Lima,Payton Talbott,3,F,Bantamweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/f6a3c78f15ff26c7
UFC 317: Topuria vs. Oliveira,Herb Dean,Jack Hermansson,Gregory Rodrigues,Gregory Rodrigues,3,F,Middleweight,M,KO/TKO,Punch to Head At Distance,1,4:21,http://ufcstats.com/fight-details/958522de54ccc536
UFC 317: Topuria vs. Oliveira,Marc Goddard,Hyder Amil,Jose Delgado,Jose Delgado,3,F,Featherweight,M,KO/TKO,Knee to Head In Clinch,1,0:26,http://ufcstats.com/fight-details/2f523b757f7f33a2
UFC 317: Topuria vs. Oliveira,Jason Herzog,Viviane Araujo,Tracy Cortez,Tracy Cortez,3,F,Women's Flyweight,F,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/815ff62ca8e217be
UFC 317: Topuria vs. Oliveira,Chris Tognoni,Terrance McKinney,Viacheslav Borshchev,Terrance McKinney,3,F,Lightweight,M,Submission,Guillotine Choke From Mount,1,0:55,http://ufcstats.com/fight-details/d7be78c400e7e0f9
UFC 317: Topuria vs. Oliveira,Mark Smith,Niko Price,Jacobe Smith,Jacobe Smith,3,F,Welterweight,M,Submission,Rear Naked Choke,2,4:03,http://ufcstats.com/fight-details/9bff9fe298e63357
UFC 317: Topuria vs. Oliveira,Herb Dean,Jhonata Diniz,Alvin Hines,Jhonata Diniz,3,F,Heavyweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/043172689e415438
UFC Fight Night: Hill vs. Rountree Jr.,Herb Dean,Jamahal Hill,Khalil Rountree Jr.,Khalil Rountree Jr.,5,F,Light Heavyweight,M,Decision,Unanimous,5,5:00,http://ufcstats.com/fight-details/03bc32bdb5a33496
UFC Fight Night: Hill vs. Rountree Jr.,Marc Goddard,Rafael Fiziev,Ignacio Bahamondes,Rafael Fiziev,3,F,Lightweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/a1afc16e21d1a807
UFC Fight Night: Hill vs. Rountree Jr.,Herb Dean,Curtis Blaydes,Rizvan Kuniev,Curtis Blaydes,3,F,Heavyweight,M,Decision,Split,3,5:00,http://ufcstats.com/fight-details/8e5744c664fec3e9
UFC Fight Night: Hill vs. Rountree Jr.,Rich Mitchell,Tofiq Musayev,Myktybek Orolbai,Myktybek Orolbai,3,F,Catch Weight,M,Submission,Kimura From Side Control,1,4:35,http://ufcstats.com/fight-details/36ec204f47e4d613
UFC Fight Night: Hill vs. Rountree Jr.,Lukasz Bosacki,Nazim Sadykhov,Nikolas Motta,Nazim Sadykhov,3,F,Lightweight,M,KO/TKO,Punches to Head At Distance,2,4:17,http://ufcstats.com/fight-details/7513a00037094075
UFC Fight Night: Hill vs. Rountree Jr.,Marc Goddard,Muhammad Naimov,Bogdan Grad,Muhammad Naimov,3,F,Featherweight,M,Decision,Unanimous,3,5:00,http://ufcstats.com/fight-details/19764211af05674c
